Variables,fix_spitfire_hist,wie_hist
Biomass,0.6950863787752658,0.696913777752785
Gross Primary Productivity,0.6542950656210359,0.6543730430477405
Ecosystem Respiration,0.6018275956077803,0.6005786158087167
Net Ecosystem Exchange,0.4385227235693218,0.43750573609423915
Soil Carbon,0.6847666237519932,0.6845517592532133
Evapotranspiration,0.6836662210691181,0.6835943574124902
Burned Area,0.651255387190813,0.642422805039526
Runoff,0.7102432353768551,0.7102654070803868
