"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","Model Period Mean (complement)","MeanState","global","scalar","%","0.105414","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","Spatial Distribution Score","MeanState","global","score","1","0.216548","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","Phase Shift","MeanState","global","scalar","months","3.23362","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","Seasonal Cycle Score","MeanState","global","score","1","0.451383","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","Bias","MeanState","global","scalar","%","0.755554","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","Bias Score","MeanState","global","score","1","0.477363","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","RMSE","MeanState","global","scalar","%","1.37408","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","RMSE Score","MeanState","global","score","1","0.666637","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","TRENDYv13_S3","Overall Score","MeanState","global","score","1","0.495714","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_noSpit_N","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.331542","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_noSpit_N","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0340364","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_noSpit_N","Period Mean (original grids)","MeanState","global","scalar","%","0.0674378","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_noSpit_N","Model Period Mean (intersection)","MeanState","global","scalar","%","0.0755153","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_noSpit_N","Model Period Mean (complement)","MeanState","global","scalar","%","0.00574139","75.0"
