Variables,S3_Spit_N,S3_Spit_noN,S3_Spit_N_ropt,TRENDYv13_S3
Biomass,0.6906538301544087,0.6602870762016153,0.6864725677902518,0.6802073711012906
Gross Primary Productivity,0.6389378644857807,0.6198839048183818,0.6407931068747833,0.6103907844503883
Leaf Area Index,0.5249397612398128,0.5195226792478913,0.508005694358017,0.4000770739875756
Global Net Ecosystem Carbon Balance,0.6304211324172428,0.6895100586810455,0.6292453284797915,0.5508898000109408
Ecosystem Respiration,0.5955141446169473,0.5558749716329,0.5973553451040521,0.5718773388489543
Soil Carbon,0.6398956400627644,0.6083079861781164,0.6338106297480693,0.6937289999919682
Burned Area,0.6611981650686436,0.6293582198584827,0.6559306722011382,0.49571373878751807
