Variables,CLM,CLM-FATES,DLEM,DVM-DOS-TEM,JSBACH,JULES-FireP0005,JULES-FireP0249,JULES-FireP0304,JULES-FireP0336,JULES-noFire,LPJ-EOSIM,LPJ-EOSIM-fixspitfire,LPX-Bern,TEM
Biomass,0.49752143841177665,0.5861624201106641,0.5580852063864834,--,0.5644485155723261,0.5881282315260742,0.5709723104314443,0.5919669341650314,0.6013625549007279,0.6057079357193752,0.6730632877050194,0.6716882341142558,0.6414529362683175,0.4671938784143371
Gross Primary Productivity,0.7251737190442226,0.7103026445149756,0.6599780319130678,0.6039490172135195,0.7267685267027434,--,--,0.6875106028040192,0.6663171013872199,0.6699625056087763,0.7116342691225523,0.7117944622696023,0.6507779330380941,0.7069235940958618
Ecosystem Respiration,0.6308953951083195,0.6304776376223762,0.6020887429825516,0.6446490797013384,0.64770595610615,0.6103947835087076,0.6137689780624781,0.608926023779028,0.5920967935679862,0.5937670748421808,0.6271622735568292,0.6279271758004066,0.5547106757218694,0.64213258916721
Net Ecosystem Exchange,0.4990172390263532,0.5083127169706521,0.45227780621170294,--,0.46608167567859554,0.4617376487574772,0.46206858773356646,0.46692714097016674,0.46239867487949654,0.4652158683830838,0.43750573609423915,0.4385227235693218,0.48350573627827287,0.44700507930949235
Soil Carbon,0.33766460569876533,0.6642767208389023,0.5856134822989438,0.6792592686425494,0.5043769268804955,0.5824968899302405,0.5513563641957343,0.5733275957680445,0.5338933152462084,0.5338579431385473,0.6723037208342648,0.6723117862062695,0.7147688288818728,0.5595914470392257
Evapotranspiration,0.7791689695511939,0.7899955622161197,--,0.6840595808854483,0.7264694821923708,--,--,--,--,--,0.7843653899336017,0.7843632639562638,0.2426250696643961,--
Burned Area,0.5466790929967918,0.6106824132812946,--,--,0.5371584005284669,0.4994307214360864,0.48691783226031504,0.5196467296961271,0.5018195644690805,--,0.6176490062238226,0.6077351023050935,0.47727866464709606,--
Runoff,0.6717594636677451,0.6825062208605143,0.6545788234774192,--,0.5391185920228646,--,--,--,--,--,0.6925574307422693,0.6925419716679879,0.6661608434117224,0.6704507028332516
