"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","378.527","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","20.6198","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Period Mean (original grids)","MeanState","global","scalar","Pg","518.328","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Model Period Mean (intersection)","MeanState","global","scalar","Pg","518.328","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Model Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Spatial Distribution Score","MeanState","global","score","1","0.870904","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Bias","MeanState","global","scalar","kg m-2","1.08624","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Bias Score","MeanState","global","score","1","0.651409","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Overall Score","MeanState","global","score","1","0.761157","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","399.147","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Period Mean (original grids)","MeanState","global","scalar","Pg","736.857","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Model Period Mean (intersection)","MeanState","global","scalar","Pg","736.828","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Model Period Mean (complement)","MeanState","global","scalar","Pg","0.0286283","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Spatial Distribution Score","MeanState","global","score","1","0.770347","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Bias","MeanState","global","scalar","kg m-2","2.17129","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Bias Score","MeanState","global","score","1","0.623111","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Overall Score","MeanState","global","score","1","0.696729","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","397.658","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","1.5913","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Period Mean (original grids)","MeanState","global","scalar","Pg","666.745","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Model Period Mean (intersection)","MeanState","global","scalar","Pg","654.505","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Model Period Mean (complement)","MeanState","global","scalar","Pg","0.0206863","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Spatial Distribution Score","MeanState","global","score","1","0.787652","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Bias","MeanState","global","scalar","kg m-2","1.71842","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Bias Score","MeanState","global","score","1","0.62806","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-noFire","Overall Score","MeanState","global","score","1","0.707856","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","397.658","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","1.5913","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Period Mean (original grids)","MeanState","global","scalar","Pg","557.844","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Model Period Mean (intersection)","MeanState","global","scalar","Pg","545.842","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Model Period Mean (complement)","MeanState","global","scalar","Pg","0.0218376","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Spatial Distribution Score","MeanState","global","score","1","0.801606","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Bias","MeanState","global","scalar","kg m-2","0.988881","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Bias Score","MeanState","global","score","1","0.62719","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0304","Overall Score","MeanState","global","score","1","0.714398","100.0"
