Variables,CLM,CLM-FATES,DLEM,JSBACH,JULES-FireP0005,JULES-FireP0249,JULES-FireP0304,JULES-FireP0336,JULES-noFire,LPJ-EOSIM,LPJ-EOSIM-fixspitfire,LPX-Bern,TEM
Biomass,0.5869754471953271,0.6743766762510776,0.607656853022375,0.6602076970490836,0.6341725326679865,0.6136694028593388,0.6343546663435883,0.6511218665858091,0.6412117276256829,0.696913777752785,0.6950863787752658,0.7042316841338095,0.5728679486640391
Gross Primary Productivity,0.6697958589058978,0.6679349641120341,0.5793834020644133,0.615373898986366,--,--,0.5961552957623613,0.5917628194340662,0.5926543651749367,0.6543730430477405,0.6542950656210359,0.5998119856568204,0.6355819094294245
Ecosystem Respiration,0.5898681571574078,0.6143106559380952,0.5654755779965599,0.6034209087774837,0.5559418839387752,0.5576250489526439,0.5588795800825783,0.5500939717414111,0.5506413260060625,0.6005786158087167,0.6018275956077803,0.5433838424628046,0.6140566431880199
Net Ecosystem Exchange,0.4990172390263532,0.5083127169706521,0.45227780621170294,0.46608167567859554,0.4617376487574772,0.46206858773356646,0.46692714097016674,0.46239867487949654,0.4652158683830838,0.43750573609423915,0.4385227235693218,0.48350573627827287,0.44700507930949235
Soil Carbon,0.3523209720373192,0.685259587560283,0.5765884430945488,0.5070140174088597,0.5964760280688067,0.5690480167807392,0.589854014826675,0.5520050962634854,0.5525902014525497,0.6845517592532133,0.6847666237519932,0.7009911511676056,0.5710763565959031
Evapotranspiration,0.6964155341531317,0.7012265271952104,--,0.6420407759096125,--,--,--,--,--,0.6835943574124902,0.6836662210691181,0.22191859489677973,--
Burned Area,0.5896679799862327,0.5602929406927244,--,0.5116986079165761,0.42145314265301537,0.41094571069363894,0.423300193742966,0.40966020896424177,--,0.642422805039526,0.651255387190813,0.4701103862911351,--
Runoff,0.707095713782893,0.7024844184015844,0.6610937994166429,0.6100568101382795,--,--,--,--,--,0.7102654070803868,0.7102432353768551,0.7010000785928087,0.699170497056497
